"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"cashflow_NPV_ndredge_check_buff8","  -1074","  11154"," 28475","  11786","2.6e+02","1.2e+04","  260.0","PA"
"cashflow_NPV_ndredge_check_buff9","   -586","  11820"," 29978","  12507","2.0e+02","1.3e+04","  195.9","PA"
"cashflow_NPV_ndredge_check_buff10","   -281","  12180"," 30999","  13123","1.4e+02","1.3e+04","  140.9","PA"
"cashflow_NPV_ndredge_check_buff11","   -110","  12848"," 31619","  13695","1.1e+02","1.4e+04","  108.5","PA"
"cashflow_NPV_ndredge_check_buff12","     49","  13363"," 32360","  14139","8.1e+01","1.4e+04","   81.3","PA"
"cashflow_NPV_ndredge_check_buff13","    124","  13588"," 33199","  14502","5.6e+01","1.5e+04","   55.6","PA"
"cashflow_NPV_ndredge_check_buff14","    150","  13909"," 33070","  14823","4.6e+01","1.5e+04","   46.4","PA"
"cashflow_NPV_ndredge_check_buff15","    184","  14295"," 34103","  15160","3.9e+01","1.5e+04","   39.4","PA"
"cashflow_NPV_ndredge_check_buff16","    175","  14620"," 33903","  15370","3.4e+01","1.5e+04","   34.0","PA"
"cashflow_NPV_ndredge_check_buff17","    172","  14942"," 34350","  15513","2.8e+01","1.6e+04","   27.7","PA"
"cashflow_NPV_ndredge_check_buff18","    168","  14772"," 34304","  15617","2.2e+01","1.6e+04","   21.6","PA"
"cashflow_NPV_ndredge_check_buff19","    151","  15134"," 34540","  15683","2.0e+01","1.6e+04","   20.5","PA"
"cashflow_NPV_ndredge_check_buff20","    168","  15279"," 34185","  15773","1.8e+01","1.6e+04","   18.3","PA"
"cashflow_NPV_ndredge_check_buff21","    184","  15321"," 34377","  15765","1.5e+01","1.6e+04","   15.0","PA"
"cashflow_NPV_ndredge_check_buff22","    178","  15407"," 34164","  15781","1.3e+01","1.6e+04","   13.4","PA"
"cashflow_NPV_ndredge_check_buff23","    144","  15369"," 33799","  15662","1.3e+01","1.6e+04","   12.9","PA"
"cashflow_NPV_ndredge_check_buff24","    134","  15529"," 33762","  15683","1.3e+01","1.6e+04","   12.6","PA"
"cashflow_NPV_ndredge_check_buff25","    123","  15545"," 33711","  15662","1.2e+01","1.6e+04","   11.9","PA"
"cashflow_NPV_ndredge_check_buff26","    135","  15568"," 33651","  15584","1.1e+01","1.6e+04","   11.2","PA"
"cashflow_NPV_ndredge_check_buff27","     95","  15616"," 33594","  15554","1.2e+01","1.6e+04","   11.6","PA"
"cashflow_NPV_ndredge_check_buff28","     99","  15345"," 33316","  15364","9.5e+00","1.5e+04","    9.5","PA"
"cashflow_NPV_ndredge_check_buff29","    115","  15464"," 33297","  15245","8.7e+00","1.5e+04","    8.7","PA"
"cashflow_NPV_ndredge_check_buff30","    103","  15435"," 32664","  15138","8.5e+00","1.5e+04","    8.5","PA"
"cashflow_NPV_ndredge_check_nbuff1"," -56142"," -42261","-15826"," -38772","3.9e+04","3.7e+01","   36.9","SQ"
"cashflow_NPV_ndredge_check_nbuff2"," -11070","   1185"," 14332","   1568","1.8e+03","3.4e+03"," 1821.0","PA"
"cashflow_NPV_ndredge_check_nbuff3","  -9561","   2122"," 15062","   2439","1.5e+03","4.0e+03"," 1537.3","PA"
"cashflow_NPV_ndredge_check_nbuff4","  -8603","   2675"," 16447","   3231","1.3e+03","4.6e+03"," 1337.2","PA"
"cashflow_NPV_ndredge_check_nbuff5","  -7757","   3071"," 17354","   3792","1.1e+03","4.9e+03"," 1144.9","PA"
"cashflow_NPV_ndredge_check_nbuff6","  -6437","   3414"," 17152","   4119","9.5e+02","5.1e+03","  946.2","PA"
"cashflow_NPV_ndredge_check_nbuff7","  -5534","   3434"," 17272","   4401","7.6e+02","5.2e+03","  765.0","PA"
"cashflow_NPV_ndredge_check_nbuff8","  -4683","   3429"," 16239","   4329","6.4e+02","5.0e+03","  639.2","PA"
"cashflow_NPV_ndredge_check_nbuff9","  -3853","   3528"," 16433","   4514","5.3e+02","5.0e+03","  528.3","PA"
"cashflow_NPV_ndredge_check_nbuff10","  -2912","   3739"," 16208","   4707","4.2e+02","5.1e+03","  419.9","PA"
"cashflow_NPV_ndredge_check_nbuff11","  -1831","   3948"," 15687","   4822","3.1e+02","5.1e+03","  305.4","PA"
"cashflow_NPV_ndredge_check_nbuff12","  -1306","   4145"," 15541","   5043","2.3e+02","5.3e+03","  229.5","PA"
"cashflow_NPV_ndredge_check_nbuff13","   -881","   4380"," 15283","   5221","1.8e+02","5.4e+03","  179.5","PA"
"cashflow_NPV_ndredge_check_nbuff14","   -745","   4543"," 14998","   5273","1.4e+02","5.4e+03","  143.8","PA"
"cashflow_NPV_ndredge_check_nbuff15","   -567","   4744"," 14556","   5358","1.1e+02","5.5e+03","  110.6","PA"
"cashflow_NPV_ndredge_check_nbuff16","   -574","   4853"," 14378","   5387","1.0e+02","5.5e+03","   99.7","PA"
"cashflow_NPV_ndredge_check_nbuff17","   -407","   4906"," 13704","   5372","7.2e+01","5.4e+03","   72.1","PA"
"cashflow_NPV_ndredge_check_nbuff18","   -387","   5001"," 13395","   5342","6.9e+01","5.4e+03","   68.7","PA"
"cashflow_NPV_ndredge_check_nbuff19","   -355","   4930"," 13054","   5249","6.0e+01","5.3e+03","   60.3","PA"
"cashflow_NPV_ndredge_check_nbuff20","   -330","   4928"," 12607","   5161","5.2e+01","5.2e+03","   52.1","PA"
"cashflow_NPV_ndredge_check_nbuff21","   -290","   4870"," 12362","   5100","4.6e+01","5.1e+03","   46.2","PA"
"cashflow_NPV_ndredge_check_nbuff22","   -269","   4724"," 11756","   4940","4.3e+01","5.0e+03","   42.7","PA"
"cashflow_NPV_ndredge_check_nbuff23","   -242","   4626"," 11453","   4773","3.9e+01","4.8e+03","   39.1","PA"
"cashflow_NPV_ndredge_check_nbuff24","   -232","   4490"," 10939","   4652","3.7e+01","4.7e+03","   37.3","PA"
"cashflow_NPV_ndredge_check_nbuff25","   -205","   4313"," 10540","   4473","3.3e+01","4.5e+03","   32.7","PA"
"cashflow_NPV_ndredge_check_nbuff26","   -222","   4160"," 10121","   4290","3.3e+01","4.3e+03","   32.8","PA"
"cashflow_NPV_ndredge_check_nbuff27","   -192","   4025","  9878","   4154","3.0e+01","4.2e+03","   30.3","PA"
"cashflow_NPV_ndredge_check_nbuff28","   -178","   3853","  9273","   3951","2.7e+01","4.0e+03","   27.4","PA"
"cashflow_NPV_ndredge_check_nbuff29","   -174","   3680","  8957","   3783","2.6e+01","3.8e+03","   25.8","PA"
"cashflow_NPV_ndredge_check_nbuff30","   -175","   3479","  8551","   3600","2.6e+01","3.6e+03","   25.6","PA"
"cashflow_NPV_ndredge_ncheck_buff1","-244916","-154710","  -225","-129491","1.3e+05","1.6e+02","  161.9","SQ"
"cashflow_NPV_ndredge_ncheck_buff2","  -8785","   6196"," 21849","   6208","1.2e+03","7.4e+03"," 1201.0","PA"
