"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_dredge_ncheck_nbuff30","  -3653","   -118"," 2.1e+01"," 9.1e+02","   1725","  2614","  3610","  4330"," 13125","   1838","0.0913","0","0.9087"
"y.cashflow_NPV_ndredge_check_buff1","-374770","-284725","-2.7e+05","-2.3e+05","-192503","-74827","-48221","-40390"," 21130","-168275","0.9994","0","0.0006"
"y.cashflow_NPV_ndredge_check_buff2"," -48725","  -7091","-3.0e+03"," 1.2e+03","   6484"," 11894"," 17593"," 21577"," 64629","   6747","0.1962","0","0.8038"
"y.cashflow_NPV_ndredge_check_buff3"," -56162","  -6305","-2.1e+03"," 2.1e+03","   7459"," 13173"," 19357"," 23228"," 57939","   7935","0.1572","0","0.8428"
"y.cashflow_NPV_ndredge_check_buff4"," -40216","  -5260","-1.4e+03"," 2.9e+03","   8469"," 14303"," 20342"," 24524"," 57900","   8885","0.1367","0","0.8633"
"y.cashflow_NPV_ndredge_check_buff5"," -29913","  -4064","-5.3e+02"," 3.4e+03","   9152"," 15133"," 21318"," 25715"," 58105","   9679","0.1224","0","0.8776"
"y.cashflow_NPV_ndredge_check_buff6"," -35639","  -2959","-1.7e+02"," 4.0e+03","   9988"," 16041"," 22187"," 26833"," 55882","  10510","0.1059","0","0.8941"
"y.cashflow_NPV_ndredge_check_buff7"," -32439","  -1844"," 2.4e+02"," 4.5e+03","  10607"," 17048"," 23700"," 28445"," 68095","  11358","0.0896","0","0.9104"
"y.cashflow_NPV_ndredge_check_buff8"," -37440","  -1074"," 6.4e+02"," 4.9e+03","  11154"," 17463"," 23886"," 28475"," 61925","  11786","0.0802","0","0.9198"
"y.cashflow_NPV_ndredge_check_buff9"," -29084","   -586"," 9.0e+02"," 5.1e+03","  11820"," 18208"," 25047"," 29978"," 74465","  12507","0.0677","0","0.9323"
"y.cashflow_NPV_ndredge_check_buff10"," -23034","   -281"," 1.2e+03"," 5.4e+03","  12180"," 19218"," 26144"," 30999"," 78578","  13123","0.0620","0","0.9380"
"y.cashflow_NPV_ndredge_check_buff11"," -22970","   -110"," 1.6e+03"," 5.9e+03","  12848"," 19916"," 26798"," 31619"," 74122","  13695","0.0533","0","0.9467"
"y.cashflow_NPV_ndredge_check_buff12"," -16612","     49"," 1.8e+03"," 6.2e+03","  13363"," 20245"," 27467"," 32360"," 73397","  14139","0.0472","0","0.9528"
"y.cashflow_NPV_ndredge_check_buff13"," -20491","    124"," 2.1e+03"," 6.5e+03","  13588"," 20733"," 28085"," 33199"," 67777","  14502","0.0447","0","0.9553"
"y.cashflow_NPV_ndredge_check_buff14"," -12554","    150"," 2.3e+03"," 6.6e+03","  13909"," 21225"," 28246"," 33070","101358","  14823","0.0430","0","0.9570"
"y.cashflow_NPV_ndredge_check_buff15"," -12176","    184"," 2.4e+03"," 6.8e+03","  14295"," 21550"," 28785"," 34103"," 83552","  15160","0.0408","0","0.9592"
"y.cashflow_NPV_ndredge_check_buff16"," -16366","    175"," 2.6e+03"," 7.1e+03","  14620"," 21894"," 28923"," 33903"," 85828","  15370","0.0406","0","0.9594"
"y.cashflow_NPV_ndredge_check_buff17"," -11056","    172"," 2.7e+03"," 7.2e+03","  14942"," 21939"," 29096"," 34350"," 83083","  15513","0.0406","0","0.9594"
"y.cashflow_NPV_ndredge_check_buff18","  -6778","    168"," 2.8e+03"," 7.1e+03","  14772"," 22249"," 29196"," 34304"," 67867","  15617","0.0373","0","0.9627"
"y.cashflow_NPV_ndredge_check_buff19","  -5352","    151"," 2.9e+03"," 7.3e+03","  15134"," 22216"," 29438"," 34540"," 71696","  15683","0.0404","0","0.9596"
